county,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
BIHOR,281006,281006,332807,1408,65033,24527,294172,431,413,465,67508,61753,0,8667,33861,5376,21281,5097,10023,3769,11035,3293,3925,3229,992,3226,912,2138,77688,572595,14955,14568,387,15071,2095,15622,1573,1703,7766,850
BISTRITA_NASAUD,62773,62773,9612,69,5982,4490,60454,786,0,23,104701,77,6916,172,465,22,11726,0,3887,1195,0,1168,1035,2357,670,4078,8,727,85932,210091,1447,1405,42,33013,1212,10592,8,1993,9,803
CLUJ,106644,106093,39342,584,36975,10568,132149,1813,319,745,85421,32278,5342,4094,4752,1571,32818,1095,15952,5234,609,1677,2595,9983,1369,12536,533,3486,134645,243948,1020,1020,0,7017,932,9635,248,649,83,493
MARAMURES,65794,65609,9781,20,1417,5678,51217,7095,0,295,113512,0,6395,0,618,0,9142,81,2689,1427,0,994,1421,2146,840,2257,12,600,21694,377579,958,958,0,42657,1476,11318,38,2323,150,1890
SATU_MARE,192825,192774,159479,559,17792,13652,266963,34915,579,159,46331,110447,35799,9335,30491,4446,33493,2491,13555,6021,6889,3353,3514,5437,616,2279,434,1647,115298,246978,13941,13828,113,15711,901,18784,537,2298,900,1267
SALAJ,69816,69466,19455,22,4225,11082,68430,6783,15,8,59273,0,2622,306,3567,258,11075,281,5947,2550,37,1303,2572,5347,1297,4889,178,842,45672,258304,9024,8984,40,21655,1317,18929,428,1024,229,1224
ALBA,114582,114321,66879,167,13869,3823,209365,6710,149,115,47323,13663,63515,2938,8433,568,24734,320,21874,5661,278,3172,5643,14122,3017,16648,86,2091,124068,339416,23824,23823,1,7819,1387,5623,539,1356,555,986
BRASOV,74550,74446,37183,983,13847,1635,34287,7659,646,0,248619,109895,22644,3387,252,1785,4755,0,1476,338,0,62,54,1490,33,1820,0,180,149396,360092,0,0,0,2158,630,2418,154,232,1,58
COVASNA,72766,72763,62464,1692,12338,2721,27466,4665,35,65,239324,141021,10213,3716,10,402,14815,48,599,272,0,11,34,2049,68,2858,22,87,107464,216792,0,0,0,2803,120,2282,2,525,2,506
HARGHITA,56419,56363,31169,2045,14414,8068,7208,4651,0,0,190620,3340,8595,7,0,17,6453,2,417,68,0,0,31,2281,12,1888,6,10,76470,218228,0,0,0,3912,336,1646,0,238,2,181
MURES,183165,183159,115422,176,24302,15939,279036,10049,369,131,65440,95042,3447,7125,7721,3214,26829,1317,18046,6458,3476,3532,6763,10872,1573,16454,805,1535,239324,722148,2360,2360,0,33258,1237,5802,157,1513,159,1076
SIBIU,73128,73036,21354,149,3561,1591,90066,5085,49,63,54860,22997,3925,1074,459,790,17465,666,4316,2756,0,795,1138,3224,545,5123,178,527,88583,342682,518,518,0,7522,403,3029,65,354,57,222
BACAU,150961,150942,44756,12,6648,3900,282050,54,297,476,30281,776,24453,4214,11076,287,30316,483,19748,2903,1944,2207,9151,6166,1790,11623,106,2127,98202,336858,27726,27693,33,5601,640,4182,384,1835,213,1090
BOTOSANI,274378,273712,74825,477,10387,20012,367915,570,120,3931,118009,50996,23925,6540,56465,51523,26738,1058,19580,4827,17159,2699,6820,6347,4025,10479,428,3447,206413,495792,8097,8034,63,12628,1419,7140,784,3629,125,1142
IASI,238456,236349,113838,230,9270,9191,279856,1359,318,2290,98204,134996,27301,15252,44005,13774,35529,822,29650,6060,24623,4019,9050,9709,3223,18395,771,4223,80067,349974,55288,54100,1188,11788,1853,8281,2280,9562,24,1136
NEAMT,150093,150027,85585,1697,20373,12816,232546,7409,116,480,98142,113008,25507,12588,23269,5869,22348,460,9061,2784,1615,1432,3606,4277,1671,9439,151,1767,26457,356922,2968,2968,0,12114,683,3230,132,2857,10,904
SUCEAVA,177341,176547,46051,4538,8658,14381,89681,3904,336,1470,197060,14912,58268,2585,2693,3165,48387,1835,13533,7043,842,2246,7394,8554,3506,17571,404,1496,176325,676276,0,0,0,31460,3128,6251,69,1607,0,1207
VASLUI,224847,222330,143977,0,11334,3583,245338,646,238,879,13599,3488,4996,4972,59835,369,18657,266,12357,2478,11087,1980,4802,2969,2038,9330,396,1895,81411,253585,54689,53331,1358,7844,796,3221,672,2899,120,709
BRAILA,346115,345987,297203,195,127249,3139,438705,2867,7273,979,4126,3593,330,66147,149559,53151,4308,67,5071,635,42234,2026,7628,1735,287,2929,45,385,14052,261692,8917,8475,442,1306,550,2411,1469,1432,416,468
BUZAU,341358,341181,342516,0,60192,2839,355449,3485,2522,499,10785,0,2937,61452,113855,1200,14196,426,20320,2736,33125,1642,3662,1326,1488,6813,85,472,21170,145242,73770,70694,3076,14339,2453,32303,1164,2710,1099,1070
CONSTANTA,484007,483806,670293,0,217714,18897,173192,2146,11006,403,12285,0,0,87667,151939,497,9932,53,13808,2079,3595,1527,1777,10752,720,13564,309,255,200829,99447,38819,37348,1471,547,271,2946,3178,771,3121,387
GALATI,273646,272170,164967,68,34742,3390,280975,1180,1827,959,9833,2320,2,10844,85661,12627,21109,1160,79972,54744,53239,10212,12576,15113,1512,19057,569,2176,17214,155566,49829,48773,1056,3493,786,2623,953,3166,281,658
TULCEA,241806,237658,294902,333,68098,3114,157101,3583,1671,648,6329,0,110,34324,78800,9144,18582,383,14656,2075,11912,1791,3775,1840,789,9400,454,1942,12162,60375,30375,29612,763,1353,231,309,163,224,19,31
VRANCEA,132572,131999,80569,59,6131,8674,160128,484,151,254,12826,0,8978,6471,18091,52,14929,761,13017,1672,4398,2645,7560,3066,584,9854,98,1097,182169,133413,143798,116274,27524,11767,737,22557,611,3255,135,1717
ILFOV,64683,64495,78412,0,16655,972,47324,3998,365,78,2285,0,0,16167,21093,297,26402,4261,28952,4378,2157,5364,5143,2937,1634,3306,514,703,24628,32359,4387,4370,17,452,245,584,675,930,254,30
BUCURESTI,88,36,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,169,4531,8,2,10,0,0,0,0,0,54,102,0,0,0,25,0,11,23,16,16,0
ARGES,153816,153570,125995,127,9733,10627,161960,17419,35,61,23875,0,14517,9178,19133,334,25015,0,19904,1731,103,1760,2113,2168,1094,12121,119,1089,36201,151912,4732,4636,96,40671,4085,55863,1172,3024,91,1247
CALARASI,391451,388488,618397,328,185239,2550,584339,1911,8888,442,412,0,15,138587,95973,40306,4537,215,6551,1000,5585,1195,1370,1221,381,2077,322,393,43052,127894,11866,11860,6,738,500,689,251,125,165,187
DAMBOVITA,155708,154911,90724,0,20441,12545,184120,6012,196,191,43613,0,1031,8176,12145,450,200594,2388,36307,7850,4702,9291,10321,18981,2911,17436,510,1344,68191,145324,1577,1548,29,44690,3848,37071,933,2093,353,1076
GIURGIU ,254116,252355,344170,39,87592,1341,213223,15130,1620,220,3023,0,0,39468,71780,14176,23585,391,25933,4148,4284,4833,7149,1105,1537,3781,1244,812,66416,173288,14570,14166,404,2198,444,1939,1417,1878,135,534
IALOMITA,350353,350195,526357,0,101523,775,471954,2021,7789,485,221,0,0,136217,107702,13270,18674,1800,14960,2040,57520,9658,16841,4761,865,3906,1201,1274,23606,156087,12344,12295,49,178,48,428,501,297,53,52
PRAHOVA,140109,139402,136743,286,20192,1142,185874,2290,51,59,24094,0,3187,23450,29431,449,17646,515,16761,2748,425,1959,3931,2661,1316,5106,388,949,48786,72997,35282,34716,566,14366,2434,21312,1186,2320,498,1297
TELEORMAN,393226,391298,522410,0,99616,6592,231463,11346,1160,78,3331,0,0,60385,144565,874,23689,568,20927,2760,16752,4812,3531,1450,2900,13047,591,759,73324,86118,22629,22595,34,1156,510,1713,1146,641,114,412
DOLJ,424906,423162,569306,6164,83032,6333,326960,17223,2669,450,4885,0,552,32336,112113,2533,45266,1180,37563,4245,103250,4043,8924,2353,3750,10269,1041,1912,63810,207136,36693,36250,443,1642,844,3786,1006,1669,195,359
GORJ,85635,85508,27668,25,1571,4492,151042,6524,145,631,26303,0,5274,0,122,0,21652,0,9518,3403,0,2325,3358,4585,1302,9728,458,2696,81,69893,10740,10740,0,6809,1136,22057,932,2108,184,1148
MEHEDINTI,130571,130571,128366,1500,12580,5833,157557,3748,1606,1116,11011,0,259,5906,13146,0,14935,99,4789,1681,14286,813,2539,1834,1929,7947,737,1316,937,43378,14431,14106,325,8943,1194,18420,1198,3178,450,1091
OLT,353067,349659,454445,0,54465,7972,302661,17966,1193,198,7093,0,0,35379,84250,736,32955,1320,54291,7860,25143,11405,18367,2311,2822,7868,769,736,29967,136799,18178,17939,239,5747,821,27696,2119,2221,326,723
VALCEA,73259,72924,30212,0,1064,3199,128064,1634,0,145,40033,0,7131,0,35,0,24086,644,12870,3390,269,2224,4901,3204,774,7282,43,508,4338,95802,22192,21447,745,14479,1072,46032,943,1969,214,1705
ARAD,330348,329065,323487,194,38052,57792,451140,18683,226,59,7223,95064,2666,36918,77493,6622,48041,2857,35643,8638,23301,6668,14776,12485,3216,14237,2191,2324,74500,228819,8012,7459,553,5244,571,5182,211,1025,754,734
CARAS_SEVERIN,75491,75488,36640,89,1892,1208,68062,1928,86,141,47095,0,0,3029,9385,1665,5153,15,2602,1132,0,586,1157,2679,465,3350,254,333,10236,246802,4213,4160,53,7982,677,20504,314,1207,345,1014
HUNEDOARA,32738,32729,26946,0,903,525,35242,2593,12,0,518,623,9,285,320,154,157,0,74,20,0,31,40,120,2,64,4,11,20368,14547,0,0,0,1541,24,1735,8,8,8,15
